"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"363","CR246218",4.17,13.94,18.49,22586617110.3508,1158661535.65394
"364","CR246218",12.03,24.53,41.31,141272933.07782,3464745.24624234
"365","CR246218",7.4,17.58,26.79,40342699535.1182,1155052416.45237
"366","CR246219",69.38,16.65,104.87,39308410.2945529,4564689.84993587
"367","CR246219",121.92,29.26,167.46,1541431768.41478,63879737.7606026
"368","CR246219",69.2,15.22,103.21,153188418.530693,201264.474658594
"369","CR246219",4.17,13.94,18.49,295638357.287417,5985106.98035796
"370","CR246219",7.4,17.58,26.79,260574841.560841,12479.1506866962
"371","CR246219",4.31,7.15,11.96,2270133.08412391,253676.521415263
"372","CR246219",3.93,13.12,17.49,265322010.074283,16704489.7787247
"373","CR246219",121.92,29.26,167.46,18895917.7058813,80407.7383488286
"374","CR246219",69.38,16.65,104.87,2721048821.58053,132177671.000217
"375","CR246219",84.38,20.25,127.54,1217112877.57952,54926601.1963742
"376","CR246219",121.92,29.26,167.46,9175818445.38099,213707414.87102
"377","CR246219",69.2,15.22,103.21,16061499629.525,132513929.606483
"378","CR246219",4.17,13.94,18.49,22586617110.3508,986046485.179579
"379","CR246219",7.4,17.58,26.79,40342699535.1182,546018185.741642
"380","CR246219",4.31,7.15,11.96,4374957526.94904,73937165.8994174
"381","CR246219",3.93,13.12,17.49,9128615736.79685,599163477.156051
"382","CR246219",121.92,29.26,167.46,96142305.7910858,18714717.6507778
"383","CR246219",5.95,19.87,26.51,5083006879.66243,60550185.4263438
"384","CR246220",121.92,29.26,167.46,1541431768.41478,17643619.6855256
"385","CR246220",7.4,17.58,26.79,260574841.560841,695.796625839546
"386","CR246220",66.43,14.62,99.09,51728225.7875744,18976616.2279284
"387","CR246220",5.95,19.87,26.51,33097646.9561079,8877269.08153233
"388","CR246220",84.38,20.25,127.54,1217112877.57952,37644728.8491568
"389","CR246220",121.92,29.26,167.46,9175818445.38099,138097589.427334
"390","CR246220",4.17,13.94,18.49,22586617110.3508,79093798.8130574
"391","CR246220",7.4,17.58,26.79,40342699535.1182,1026767044.82238
"392","CR246220",66.43,14.62,99.09,3678131586.99298,304589205.007167
