"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"194","CR249240",120.58,28.94,167.16,7076299902.76571,37.6435704357272
"195","CR249240",1.03,4.74,9.4,38709766590.8987,1152721294.48221
"196","CR249240",1.03,4.74,9.4,5133580946.8382,21.620620854765
"197","CR249240",1.04,10.15,12.77,10276555269.6776,522.377364210096
"198","CR249241",98.7,23.69,136.17,1508142488.00348,11526162.2138178
"199","CR249241",120.58,28.94,167.16,7036463465.53076,97235746.7675839
"200","CR249241",1.03,4.74,9.4,637188597.606285,7782708.83869479
"201","CR249241",0.73,0.77,5.13,300672690.150814,2034708.30959098
"202","CR249241",0.73,0.77,5.13,47898053374.4299,681046000.716198
"203","CR249241",1.04,10.15,12.77,945534655.38946,0.192393623525277
"204","CR249241",120.58,28.94,167.16,1600476.79085388,263332.589242546
"205","CR249241",120.58,28.94,167.16,7076299902.76571,85258124.9987514
"206","CR249241",37.74,10.58,55.51,5563925318.74425,0.196064589486923
"207","CR249241",1.03,4.74,9.4,38709766590.8987,1782159843.50317
"208","CR249241",1.04,10.15,12.77,10276555269.6776,21.3716808982321
"209","CR249242",1.03,4.74,9.4,637188597.606285,5158606.05114877
"210","CR249242",0.73,0.77,5.13,300672690.150814,263800.405188062
"211","CR249242",0.73,0.77,5.13,47898053374.4299,55314148.2403714
"212","CR249242",120.58,28.94,167.16,1600476.79085388,72795.6998633854
"213","CR249242",120.58,28.94,167.16,7076299902.76571,670883944.617848
"214","CR249242",37.74,10.58,55.51,5563925318.74425,58.213981434829
"215","CR249242",1.03,4.74,9.4,38709766590.8987,1633319176.60392
"216","CR249242",37.74,10.58,55.41,11213427796.265,49.0415430714056
"217","CR249243",1.03,4.74,9.4,637188597.606285,512158.193281339
"218","CR249243",120.58,28.94,167.16,7076299902.76571,38741453.401971
"219","CR249243",1.03,4.74,9.4,38709766590.8987,86401129.2549318
"220","CR250237",98.7,23.69,136.17,1508142488.00348,8437226.93488768
"221","CR250237",120.58,28.94,167.16,7036463465.53076,108997403.768672
"222","CR250237",1.03,4.74,9.4,637188597.606285,583616.637371605
"223","CR250237",0.73,0.77,5.13,300672690.150814,189921.312060405
"224","CR250237",1.04,10.15,12.77,11047968253.7415,1943131.87210537
