"CR241196","Brazil",660.24
"CR241197","Brazil",638
"CR241198","Brazil",606.17
"CR241199","Brazil",480.81
"CR241200","Brazil",480.81
"CR241201","Brazil",509.64
"CR241202","Brazil",495.78
"CR241203","Brazil",446.84
"CR241204","Brazil",330.24
"CR241205","Brazil",249.09
"CR241206","Brazil",231.37
"CR241207","Brazil",258.84
"CR241208","Brazil",289.41
"CR241209","Brazil",288.41
"CR241210","Brazil",248.89
"CR241211","Brazil",264.17
"CR241212","Brazil",243.84
"CR241213","Brazil",248.19
"CR242177","Brazil",651.5
"CR242178","Brazil",597.47
"CR242179","Brazil",593.66
"CR242180","Brazil",677.92
"CR242181","Brazil",689.55
"CR242182","Brazil",688.76
"CR242183","Brazil",700.35
"CR242184","Brazil",686.42
"CR242185","Brazil",628.74
"CR242186","Brazil",599.28
"CR242187","Brazil",376.54
"CR242188","Brazil",426.44
"CR242189","Brazil",553.99
"CR242190","Brazil",553.01
"CR242191","Brazil",615.22
"CR242192","Brazil",660.46
"CR242193","Brazil",677.57
"CR242194","Brazil",673.57
"CR242195","Brazil",640.71
"CR242196","Brazil",670.73
"CR242197","Brazil",590.83
"CR242198","Brazil",543.45
"CR242199","Brazil",473.77
"CR242200","Brazil",463.78
"CR242201","Brazil",456.83
"CR242202","Brazil",473.39
"CR242203","Brazil",396.06
"CR242204","Brazil",329.86
"CR242205","Brazil",271.05
"CR242206","Brazil",189.92
"CR242207","Brazil",137.31
"CR242208","Brazil",131.4
"CR242209","Brazil",120.67
"CR242210","Brazil",242.12
"CR242211","Brazil",316.92
"CR242212","Brazil",318.77
"CR242213","Brazil",390.4
"CR243178","Brazil",800.99
"CR243179","Brazil",732.29
"CR243180","Brazil",732.46
"CR243181","Brazil",763.16
"CR243182","Brazil",706.9
"CR243183","Brazil",661.62
"CR243184","Brazil",703.94
"CR243185","Brazil",576.13
"CR243186","Brazil",639.75
"CR243187","Brazil",290.41
"CR243188","Brazil",449.16
"CR243189","Brazil",569.57
"CR243190","Brazil",614.66
"CR243191","Brazil",653.53
"CR243192","Brazil",701.7
"CR243193","Brazil",699.88
"CR243194","Brazil",702.26
"CR243195","Brazil",639.97
"CR243196","Brazil",600.65
"CR243197","Brazil",518.61
"CR243198","Brazil",630.11
"CR243199","Brazil",466.83
"CR243200","Brazil",508.04
"CR243201","Brazil",482.9
"CR243202","Brazil",408.95
"CR243203","Brazil",256.53
"CR243204","Brazil",341.02
"CR243205","Brazil",269.86
"CR243206","Brazil",161.58
"CR243207","Brazil",131.53
"CR243208","Brazil",110.16
"CR243209","Brazil",103.17
"CR243210","Brazil",152.47
"CR243211","Brazil",304.91
"CR243212","Brazil",344.94
"CR243213","Brazil",184.24
"CR244177","Brazil",585.05
"CR244178","Brazil",813.19
"CR244179","Brazil",739.72
"CR244180","Brazil",718.72
"CR244181","Brazil",767.13
"CR244182","Brazil",739.15
"CR244183","Brazil",742.03
"CR244184","Brazil",697.49
"CR244185","Brazil",524.79
"CR244186","Brazil",537.67
"CR244187","Brazil",372.31
"CR244188","Brazil",520.72
"CR244189","Brazil",599.32
"CR244190","Brazil",634.33
"CR244191","Brazil",698.26
"CR244192","Brazil",729.89
"CR244193","Brazil",660.95
"CR244194","Brazil",740.68
"CR244195","Brazil",608.95
"CR244196","Brazil",561.72
"CR244197","Brazil",560.6
"CR244198","Brazil",576.87
"CR244199","Brazil",492.8
"CR244200","Brazil",447.05
"CR244201","Brazil",480.42
"CR244202","Brazil",382.33
"CR244203","Brazil",313.95
"CR244204","Brazil",280.6
"CR244205","Brazil",282.16
"CR244206","Brazil",172.98
"CR244207","Brazil",153.05
"CR244208","Brazil",118.37
"CR244209","Brazil",107.47
"CR244210","Brazil",217.5
"CR244211","Brazil",302.06
"CR244212","Brazil",333.97
"CR244213","Brazil",311.6
"CR244214","Brazil",167.46
"CR244215","Brazil",123.93
"CR244220","Brazil",59.87
"CR244221","Brazil",84.28
"CR245177","Brazil",882.82
"CR245178","Brazil",844.04
"CR245179","Brazil",796.59
"CR245180","Brazil",760.27
"CR245181","Brazil",786.41
"CR245182","Brazil",717.15
"CR245183","Brazil",708.7
"CR245184","Brazil",723.11
"CR245185","Brazil",632.21
"CR245186","Brazil",221.78
"CR245187","Brazil",392.59
"CR245188","Brazil",583.25
"CR245189","Brazil",617.29
"CR245190","Brazil",655.83
"CR245191","Brazil",714.82
